,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9083294960368598209,-9083294960368598209,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,How To Benefit From Getting Paid in Bitcoin,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Introducing Mini Courses with MS Chatbots,Create a Slack Bot to Interact with Your Wiki
-9081753261356157170,-9081753261356157170,The Future of Digital Banking is Now,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,LOGOBR School | Behance Reviews Campinas 2016,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,Google made a huge change to the way Google Maps look
-9076501258717815738,-9076501258717815738,NoSQL Performance Benchmarks,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-9073210245497295284,-9073210245497295284,Conversational Banking; from branches to bots. - Chatbots Magazine,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",Exclusive: Why Microsoft is betting its future on AI
-9071883412530082330,-9071883412530082330,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"The new, scary face of auto insurance",Digital Leadership Is Not an Optional Part of Being a CEO,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,The new tech talent you need to succeed in digital
-9064100704535292718,-9064100704535292718,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App",Beyond Progressive Web Apps Part 1,Chrome DevTools - Console API Reference,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC
-9056114023474725450,-9056114023474725450,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Bringing Pokémon GO to life on Google Cloud,Meet Aquifer: A build system for easier Drupal development,A plan for media management in Drupal 8,Drupal 8.1.0 is now available
-9055044275358686874,-9055044275358686874,7 lessons about finding the work you were meant to do,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Ordering coffee in Italy: the 10 commandments,Staying one step ahead at Pixar: An interview with Ed Catmull
-9050450867630628092,-9050450867630628092,How Apple Keyboards Lost a Logo and Windows PCs Gained One,A Baseline for Hybrid Mobile Developers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,CSS Containment in Chrome 52 | Web Updates - Google Developers
-9039021554659316935,-9039021554659316935,Promoting gender equality through emoji �� ��,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Put a ring on it: three smart rings with plenty of beauty and brains
-9033211547111606164,-9033211547111606164,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts,Generative Models
-9028990334396397584,-9028990334396397584,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
-9019582414165805420,-9019582414165805420,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Why your wallet is becoming the next platform
-9019233957195913605,-9019233957195913605,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP,New MacBook Pro is not a Laptop for Developers Anymore
-8992803137960175254,-8992803137960175254,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-8992201526199201450,-8992201526199201450,TypeScript 2.0 is now available!,O WhatsApp do Google chegou e se chama Allo,The Progress of Web Apps - On the Edge,Google releases keyboard for the iPhone with built-in search features,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
-8984665034930053829,-8984665034930053829,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",O RH chega ao board,Amazon has a huge opportunity in grocery delivery
-8968101771604200516,-8968101771604200516,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",Uso de API's no mercado de serviços financeiros
-8964534883296838326,-8964534883296838326,New settings for 2-Step Verification,Get ready for Google I/O 2016,Apache Spark 2.0 Preview: Machine Learning Model Persistence,Are Chatbots Really The Future Of Web Design?,Artificial intelligence is changing SEO faster than you think
-8962700386317589038,-8962700386317589038,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Android Studio 2.0 | Android Developers Blog,Introducing Ask a Female Engineer,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
-8954346068661072425,-8954346068661072425,Lady Gaga's startup Backplane burns out and sells assets,Evernote anuncia integração com Google Drive | Google Discovery,Top 5 GCP NEXT breakout sessions on YouTube (so far),A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"[Tools] Personal Kanban in ""Favro"""
-8950763842769120954,-8950763842769120954,Falling for Web Components,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Black Friday salva o ano do e-commerce,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
-8949113594875411859,-8949113594875411859,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,In defense of the Uber-ization of everything,Amazon has a huge opportunity in grocery delivery,The Rise And Growth of Ethereum Gets Mainstream Coverage,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
-8948234514303933700,-8948234514303933700,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains,"STEMTera, uma protoboard com Arduino Uno embutido","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
-8947720860550700506,-8947720860550700506,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Carrefour começa a operar e-commerce no Brasil | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,"SpaceNet satellite imagery repository launched by DigitalGlobe, CosmiQ Works and NVIDIA on AWS"
-8939172344092554931,-8939172344092554931,Why Is Learning Drupal Hard?,Deep Learning Demystified,One year as a Data Scientist at Stack Overflow,Omnitone: Spatial audio on the web,Big data's 'streetlight effect': where and how we look affects what we see
-8937070974333045193,-8937070974333045193,O início problemático dos chatbots no Facebook Messenger,Por que o Walmart não é Walmart no Brasil,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Marketplace,Why Walmart wants to buy Jet.com and what you need to know about the potential deal
-8934199835393138432,-8934199835393138432,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",Sony Smart Tennis Sensor for Tennis Rackets,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Videos] Bill Gross: The single biggest reason why startups succeed
-8933526098329881084,-8933526098329881084,Building interfaces with ConstraintLayout - Google Developers,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,"Fresco, sim! - Android Dev BR",Announcing updates to Google's Internet of Things platform: Android Things and Weave,Adulterated Objective-C
-8913397556833789413,-8913397556833789413,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Black Friday salva o ano do e-commerce,Dafiti registra alto crescimento no 1º semestre de 2016,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
-8909927294729358771,-8909927294729358771,Sesi oferece curso de LIBRAS com certificação de 40 horas,"ConstraintLayout, Inside and Out: Part 2",Android Quickstart - Firebase,Governo busca empresas para aprimorar Internet das Coisas no Brasil,[Teste] Quer saber como está seu português? - Runrun.it Blog
-8908991577172785311,-8908991577172785311,What the future will look like when we use chatbots instead of apps,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Can virtual reality revolutionise education?,Dial in with ease using the latest Google Calendar app for Android,Operator fuses bots with humans to build cyborg shopping experts
-8900113512825364282,-8900113512825364282,Confused by blockchains? Revolution vs Evolution,How Blockchain Technology Can Improve the Insurance Industry,Why your wallet is becoming the next platform,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais
-8885776096632729273,-8885776096632729273,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,New ways to keep data flowing between your apps and ours,Google moves to replace Flash with HTML5,"Finding an apartment to rent is as easy as hitting ""Send"" with Trulia's new Facebook Messenger bot"
-8876785823151614444,-8876785823151614444,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Exclusive: Why Microsoft is betting its future on AI,AI Revolution 101 - AI Revolution,New Sessions Added To Google I/O 2016 Schedule
-8864073373672512525,-8864073373672512525,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Kickstarter 3D printer will print circuit boards as part of your designs
-8863047175241170722,-8863047175241170722,One year as a Data Scientist at Stack Overflow,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Writing good code: how to reduce the cognitive load of your code,Bridging the Communication Gap Between Developers and Architects - DaedTech,Aplicação de visão computacional com OpenCV
-8854146354650101086,-8854146354650101086,8 things to expect from Google's biggest event of the year,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth,Twitter adds a button to help you train its algorithm,Here's proof that Google is getting serious about battling Facebook in a key area
-8819557474068526071,-8819557474068526071,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",5 reasons your employees aren't sharing their knowledge,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com
-8815620240581422908,-8815620240581422908,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Writing good code: how to reduce the cognitive load of your code,Perfect Menu for Mobile Apps - UX Planet,Today in Apple history: Steve Jobs passes away | Cult of Mac,Desenvolvimento de Aplicativos Mobile com Xamarin -
-8813724423497152538,-8813724423497152538,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Blockchain won't kill banks: Bitcoin pioneer,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
-8800029253812071912,-8800029253812071912,Apple is working on an AI system that wipes the floor with Google and everyone else,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-8797444257711529901,-8797444257711529901,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,Meet the man behind the rise of bots and our AI-driven future,New blog from Dries: How should you decouple Drupal?,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog
-8796191278504623694,-8796191278504623694,What's the Version of my Deployed Application? - DZone DevOps,"Incrível, Skype se lembrou que o Linux existe!",Automate Docker with the Remote API and Ruby,"Kotlin in Production - What works, Whats broken",AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
-8773118241761372618,-8773118241761372618,"Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,Android Quickstart - Firebase,The 7 Coolest Virtual Reality Experiences Made with Hololens So Far,"ConstraintLayout, Inside and Out: Part 2"
-8771338872124599367,-8771338872124599367,The AI business landscape,Threaded messaging is coming to Slack,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds","Here's what Viv looks like, the next generation AI assistant built by Siri creator",TechCrunch launches a personalized news recommendations bot on Facebook Messenger
-8757701761088346244,-8757701761088346244,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Prototypal Object-Oriented Programming using JavaScript,Scrum Community - Scrum Alliance,19 Tips For Everyday Git Use
-8742648016180281673,-8742648016180281673,What Millennials Want from a New Job,Google HR chief Laszlo Bock leaving to launch startup,The Secret History of Agile Innovation,"Terrapattern is reverse image search for maps, powered by a neural network",How Companies Are Using Machine Learning to Get Faster and More Efficient
-8734181034726403477,-8734181034726403477,4 Blockchain Macro Trends: Where to Place Your Bets,"GitHub broke my 1,000 day streak - Free Code Camp",Jenkins 2.0 is here!,Dries Buytaert: Advancing Drupal's web services,Artificial intelligence is hard to see
-8728075196312712282,-8728075196312712282,What Business Leaders Should Know About Swift,"ConstraintLayout, Inside and Out: Part 1",Firebase Test Lab for Android,Using DiffUtil in Android RecyclerView,Google Expands Android Pay APIs
-8723568727518869245,-8723568727518869245,Support Ended for Eclipse Android Developer Tools,Scott Penrose: Arduino Static Strings,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,The Rise And Growth of Ethereum Gets Mainstream Coverage,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub
-8723313435347324769,-8723313435347324769,"Amazon open-sources its own deep learning software, DSSTNE",The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,New Sessions Added To Google I/O 2016 Schedule,Generative Models
-8717945432162716060,-8717945432162716060,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,Introduction · Bitcoin para Programadores,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing,How Coca-Cola Is Harvesting Innovation Energy From Startups,Campus São Paulo: conheça a primeira turma do Programa de Residentes
-8706427875719844202,-8706427875719844202,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",The return of the machinery question,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial intelligence is changing SEO faster than you think,Corporate Intrapreneur Summit
-8700857105739861338,-8700857105739861338,Nubank pode fechar as portas se BC confirmar mudança amanhã,Bitcoin In The Time Of Negative Interest Rates,American Express ... and the Book of Mormon - Chris Skinner's blog,Sem Parar vs Conectcar - DanBP.org,Parceria entre Paypal e Mastercard firmada!
-8689798332822398451,-8689798332822398451,[PayPal] Postos Shell adotam pagamento no smartphone,Sony Smart Tennis Sensor for Tennis Rackets,"ProtoHack, hackathon criado no Vale do Silício, desembarca em São Paulo para sua primeira edição no espaço Engenho Maker - Startupi",[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,Presenting to the Boss(es) | Pluralsight
-8680242653057858999,-8680242653057858999,Machines are learning to find concealed weapons in x-ray scans,Deep Learning AI for NASA Powers Earth Robots,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,[Books] Biblioteca FIXE: Sugestões de Leitura,"Hands-on: Google Assistant's Allo chatbot outdoes Cortana, Siri as your digital pal"
-8677396111092711799,-8677396111092711799,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,"Automatic lays off 28% of its workforce, aims for profitability in 2017",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,The Real Product Market Fit,The omnichannel customer experience is poised to take off in regulated industries
-8669770849634489893,-8669770849634489893,Conselho da SABMiller aceita proposta de compra da AB InBev,Meet the new Brazilian consumer,"Automatic lays off 28% of its workforce, aims for profitability in 2017","Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Dasa multiplica lucro em 6 vezes no terceiro trimestre
-8658069499367979499,-8658069499367979499,Walmart compra startup para brigar com Amazon | EXAME.com,America's allies are preparing for a bumpy ride,Carrefour começa a operar e-commerce no Brasil | EXAME.com,Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together
-8657415528200615063,-8657415528200615063,Infrequently Noted,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",React Native v0.32.0-rc.0 released,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-8632408281960398473,-8632408281960398473,Workspace Filter,Adobe CQ/Adobe AEM,Configuring OSGi,AEM 6.1 Package Manager Metadata Files,Live Event: Unveiling the GitLab Master Plan
-8627051188605351707,-8627051188605351707,Debugging WordPress: 11 Powerful Tips and Techniques,ConstraintLayout - Part 1,Readable Content Guides,Sam Newman - Backends For Frontends,Dries Buytaert
-8618420761918493321,-8618420761918493321,"Google I/O: Expect A.I., virtual reality","Bots, Messenger and the future of customer service",What SWAG will Google I/O 2016 attendees take home?,Google may unveil Android VR headset at I/O conference,Why Steve Jobs Was Proud to Steal Ideas
-8615957592921855596,-8615957592921855596,Inception (2010),A New Number Format for Computers Could Nuke Approximation Errors for Good,7 lessons about finding the work you were meant to do,Nashorn: JavaScript made great in Java 8,The best-and worst-places to be a working woman
-8615008595949058842,-8615008595949058842,Using TensorFlow and JupyterHub in Classrooms,The AI business landscape,8 things to expect from Google's biggest event of the year,Google's official Project Wing logo revealed,These gloves can convert sign language into spoken English
-8606063418076691067,-8606063418076691067,Combining Spring Boot and JDBI,How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,Introducing Kotlin support in Spring Framework 5.0,Taking Microservices Home - NGINX
-8591127493017117985,-8591127493017117985,How Mobile Health Apps and Wearables Could Actually Make People Sicker,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Elastic Stack 5.0.0 Released,Introducing Goals in Google Calendar on Android and iPhone
-8587352636561360574,-8587352636561360574,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Graph-powered Machine Learning at Google,Tensorflow wins,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule
-8582642829303844420,-8582642829303844420,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,To bot or not to bot
-8529522981244750831,-8529522981244750831,LOGOBR School | Behance Reviews Campinas 2016,Visa inaugura Co-Creation Center em São Paulo,Motion with Meaning: Semantic Animation in Interface Design,A identidade visual de Budapeste para as Olimpíadas de 2024,Prototyping across borders - From Tulsa to Brazil - +Acumen
-8526359231369823784,-8526359231369823784,Dasa multiplica lucro em 6 vezes no terceiro trimestre,Don Tapscott: How the blockchain is changing money and business,Introducing New Relic Infrastructure,Where accountability really matters,Here's How L'Oréal Plans To Continue Its Digital Innovation
-8518096793350810174,-8518096793350810174,Accept questions from your audience when presenting in Google Slides,Inception (2010),7 lessons about finding the work you were meant to do,Staying one step ahead at Pixar: An interview with Ed Catmull,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy"
-8512461968928613053,-8512461968928613053,Python Eats Into R as SAS Dominance Fades,"diagramas para entender, criar, inovar e empreender: 3","Three cultures, three continents and three lessons on leadership",B2B Ecommerce Growing; Becoming More Like B2C,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
-8511291357261863413,-8511291357261863413,Readable Content Guides,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends,Alecrim/AlecrimCoreData,So long MVP. Hello Minimum Loveable Product.
-8510490754427841940,-8510490754427841940,The gig economy as a driver of innovation,Introducing JQL: A Query Language for Analytics,Conversational Banking; from branches to bots. - Chatbots Magazine,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,Skill swarms - a new way to share expertise and work smarter together - Skillhive
-8508606815368130888,-8508606815368130888,What the JIT!? Anatomy of the OpenJDK HotSpot VM,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Lady Gaga's startup Backplane burns out and sells assets,Android Quickstart - Firebase
-8497895589300643949,-8497895589300643949,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Startups apostam em aplicativos que conectam fretes e caminhoneiros,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Here's How L'Oréal Plans To Continue Its Digital Innovation
-8480712303720557641,-8480712303720557641,Para inovar é preciso mais do que boas ideias - Startupi,Introducing Google Cloud Shell's new code editor,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Introducing Cloud Spanner: a global database service for mission-critical applications,Apple e Google querem que você pague por assinatura em apps
-8467102776052559275,-8467102776052559275,The Importance of Code Reviews,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%)
-8449536481786923901,-8449536481786923901,Corporate Intrapreneur Summit,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing","Meet Articoolo, the robot writer with content for brains",Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar
-8427763028519233712,-8427763028519233712,Introducing JQL: A Query Language for Analytics,Skill swarms - a new way to share expertise and work smarter together - Skillhive,How to approach machine learning as a non-technical person,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow"
-8412113620940365599,-8412113620940365599,Inception (2010),"""We only hire the best"" - Signal v. Noise",Shutter Island (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",A importância dos filmes de mulherzinha - Capitolina
-8404657131309965885,-8404657131309965885,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more",Plug the Fathom Neural Compute Stick into any USB device to make it smarter,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-8392586470872505716,-8392586470872505716,You can now use MyCokeRewards with Apple Pay (and score a free Coke),CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution,Unilever: The biggest digital start-up in the world?,You won't recognize the new world of digital payments without this report,"Razorfish, US digital revenues, drag down Publicis"
